Test number::label,Number of iterations::number,Disagreement::number
1,10,0
2,7,0
3,6,0
4,3,0
5,6,0
6,6,0
7,5,0
8,1,0
9,3,0
10,5,0
11,4,0
12,1,0
13,4,0
14,13,0
15,68,0
16,2,0
17,5,0
18,3,0
19,4,0
20,3,0
21,1,1
22,7,0
23,3,0
24,3,0
25,5,0
26,6,0
27,5,0
28,4,0
29,4,0
30,4,0
31,5,0
32,5,0
33,8,0
34,2,0
35,3,0
36,6,0
37,4,0
38,5,0
39,1,0
40,6,0
41,4,0
42,7,0
43,7,0
44,3,0
45,3,0
46,3,0
47,3,0
48,19,0
49,3,0
50,4,0
51,6,0
52,2,0
53,3,0
54,11,0
55,2,0
56,3,0
57,3,0
58,5,0
59,4,0
60,1,0
61,3,0
62,3,0
63,3,0
64,2,0
65,4,0
66,6,0
67,6,0
68,1,0
69,4,0
70,2,0
71,3,0
72,2,0
73,7,0
74,3,0
75,4,0
76,3,0
77,4,0
78,2,0
79,3,0
80,1,0
81,4,0
82,6,0
83,3,0
84,4,0
85,2,0
86,8,0
87,4,0
88,6,0
89,2,0
90,2,1
91,6,0
92,4,0
93,3,0
94,7,0
95,4,0
96,4,0
97,8,0
98,3,0
99,3,0
100,10,0
101,13,0
102,3,0
103,4,0
104,4,0
105,5,0
106,5,0
107,3,0
108,3,0
109,3,0
110,3,0
111,3,0
112,3,0
113,5,0
114,5,0
115,5,0
116,3,0
117,6,0
118,5,0
119,2,0
120,5,0
121,4,0
122,2,1
123,8,0
124,3,0
125,2,0
126,1,0
127,3,0
128,7,1
129,6,0
130,7,0
131,2,0
132,5,0
133,4,0
134,4,0
135,4,0
136,3,0
137,3,0
138,4,0
139,8,0
140,4,0
141,4,0
142,1,0
143,3,0
144,4,0
145,3,0
146,3,0
147,1,0
148,6,0
149,8,0
150,14,0
151,4,0
152,5,0
153,3,0
154,20,0
155,5,0
156,4,0
157,6,0
158,1,0
159,3,0
160,8,0
161,4,0
162,2,0
163,14,0
164,4,0
165,2,0
166,3,0
167,5,0
168,3,0
169,5,0
